meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
 40   3  3.657 v5 s2 t=3745 n3_5Cs2t_14     C#2 t    -- --o | 
meas:4 6/4 ticks:4608
  0   4  0.000 v5 s1 t=0    ng4_5F4e        F4  e    -- -go | 
  1   4  0.075 v1 s1 t=0    n4_1Eb5h        Eb5 h    -- --o | 
  2   4  0.075 v5 s2 t=0    n4_5C1e         C1  e    -- c-o | 
  3   4  0.075 v5 s2 t=0    n4_5Bb1e_0      Bb1 e    -- c-o | 
  4   4  0.375 v5 s2 t=307  n4_5C1s_0       C1  s    -- c-o | 
  5   4  0.375 v5 s2 t=307  n4_5Bb1s_0      Bb1 s    -- c-o | 
  6   4  0.525 v5 s2 t=461  n4_5Bb1s_1      Bb1 s    -- --o | 
  7   4  0.676 v5 s2 t=615  n4_5C1s_1       C1  s    tb --o | 
  8   4  0.826 v5 s2 t=769  n4_5C1s_2       C1  s    te --- | 
  9   4  0.976 v5 s2 t=923  n4_5Bb1s_2      Bb1 s    -- --o | 
 10   4  1.127 v5 s2 t=1077 n4_5C1s_3       C1  s    -- --o | 
 11   4  1.277 v5 s2 t=1231 n4_5Bb1e_1      Bb1 e    -- --o | 
 12   4  1.575 v1 s1 t=1536 re4_1Rh         R   h    -- --- | 
 13   4  1.577 v5 s2 t=1538 n4_5C1s_4       C1  s    -- --o | 
 14   4  1.727 v5 s2 t=1692 n4_5Bb1s_3      Bb1 s    -- --o | 
 15   4  1.878 v5 s2 t=1846 n4_5C1s_5       C1  s    -- --o | 
 16   4  2.028 v5 s2 t=2000 n4_5Bb1e_2      Bb1 e    tb --o | 
 17   4  2.328 v5 s2 t=2307 n4_5Bb1s_4      Bb1 s    te --- | 
 18   4  2.478 v5 s2 t=2461 n4_5C1s_6       C1  s    -- --o | 
 19   4  2.629 v5 s2 t=2615 n4_5Bb1e_3      Bb1 e.   -- --o | 
 20   4  3.075 v1 s1 t=3072 n4_1C1h         C1  h    tb --o | d:mp
 21   4  3.079 v5 s2 t=3076 n4_5A2t_0       A2  t    -- --o | 
 22   4  3.162 v5 s2 t=3161 n4_5Fs1t_0      F#1 t    -- --o | d:ppp
 23   4  3.245 v5 s2 t=3246 n4_5Cs2t_0      C#2 t    -- --o | d:ppp
 24   4  3.328 v5 s2 t=3331 n4_5A2t_1       A2  t    -- --o | d:ppp
 25   4  3.411 v5 s2 t=3416 n4_5Cs2t_1      C#2 t    -- --o | d:ppp
