meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
 28   8  1.579 v5 s2 t=1617 n8_5Fs1t_6      F#1 t    -- --o | d:ppp
 29   8  1.652 v1 s1 t=1692 n8_1Bb1s_3      Bb1 s    -- --o | d:p
 30   8  1.662 v5 s2 t=1702 n8_5Cs2t_4      C#2 t    -- --o | d:ppp
 31   8  1.745 v5 s2 t=1787 n8_5Fs1t_7      F#1 t    -- --o | d:ppp
 32   8  1.803 v1 s1 t=1846 n8_1C1s_5       C1  s    -- --o | d:p
 33   8  1.828 v5 s2 t=1872 n8_5Cs2s_2      C#2 s    -- --o | d:ppp
 34   8  1.953 v1 s1 t=2000 n8_1Bb1e_2      Bb1 e    tb --o | d:p
 35   8  1.995 v5 s2 t=2043 n8_5Fs1t_8      F#1 t    -- --o | d:ppp
 36   8  2.078 v5 s2 t=2128 n8_5A2t_5       A2  t    -- --o | d:ppp
 37   8  2.161 v5 s2 t=2213 n8_5Cs2t_5      C#2 t    -- --o | d:ppp
 38   8  2.244 v5 s2 t=2298 n8_5A2t_6       A2  t    -- --o | d:ppp
 39   8  2.253 v1 s1 t=2307 n8_1Bb1s_4      Bb1 s    te --- | 
 40   8  2.327 v5 s2 t=2383 n8_5Fs1t_9      F#1 t    -- --o | d:ppp
 41   8  2.403 v1 s1 t=2461 n8_1C1s_6       C1  s    -- --o | d:p+
 42   8  2.410 v5 s2 t=2468 n8_5Cs2t_6      C#2 t    -- --o | d:ppp
 43   8  2.493 v5 s2 t=2553 n8_5Fs1t_10     F#1 t    -- --o | d:ppp
 44   8  2.554 v1 s1 t=2615 n8_1Bb1e_3      Bb1 e.   -- --o | d:p+
 45   8  2.576 v5 s2 t=2638 n8_5Cs2s_3      C#2 s    -- --o | d:ppp
 46   8  2.743 v5 s2 t=2809 n8_5Fs1t_11     F#1 t    -- --o | d:ppp
 47   8  2.826 v5 s2 t=2894 n8_5A2t_7       A2  t    -- --o | d:ppp
 48   8  2.909 v5 s2 t=2979 n8_5Cs2t_7      C#2 t    -- --o | d:ppp
 49   8  2.992 v5 s2 t=3064 n8_5A2t_8       A2  t    -- --o | d:ppp
