meas,index,voice,loc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal
,176,,,0,9.741564,,,,,,,176,64,33,,,,,
,177,,,0,9.751980,,,,,,,176,64,38,,,,,
,178,,,0,9.762396,,,,,,,176,64,42,,,,,
,179,,,0,9.772812,,,,,,,176,64,50,,,,,
,180,,,0,9.783228,,,,,,,176,64,56,,,,,
,181,,,0,9.793644,,,,,,,176,64,62,,,,,
,182,,,0,9.801456,,,,,,,176,64,68,,,,,
,183,,,0,9.811872,,,,,,,176,64,74,,,,,
,184,,,0,9.822288,,,,,,,176,64,78,,,,,
,185,,,0,9.832704,,,,,,,176,64,83,,,,,
,186,,,0,9.843120,,,,,,,176,64,87,,,,,
,187,,,0,9.853536,,,,,,,176,64,91,,,,,
,188,,,0,9.861348,,,,,,,176,64,94,,,,,
,189,,,0,9.871764,,,,,,,176,64,95,,,,,
,190,,,0,9.882180,,,,,,,176,64,98,,,,,
,191,,,0,9.892596,,,,,,,176,64,99,,,,,
,192,,,0,9.913428,,,,,,,176,64,100,,,,,
,193,,,0,9.921240,,,,,,,176,64,101,,,,,
,194,,,0,9.931656,,,,,,,176,64,100,,,,,
,195,,,0,9.934260,,,,,,,128,42,0,,,,,
,196,,,0,9.942072,,,,,,,176,64,102,,,,,
,197,,,0,9.944676,,,,,,,128,33,0,,,,,
,198,,,0,9.949884,,,,,,,128,61,0,,,,,
,199,,,0,9.952488,,,,,,,176,64,100,,,,,
,200,,,0,9.962904,,,,,,,176,64,102,,,,,
,201,,,0,9.973320,,,,,,,176,64,101,,,,,
,202,,,0,9.991548,,,,,,,176,64,102,,,,,
,203,,,0,10.001964,,,,,,,176,64,101,,,,,
,204,,,0,10.012380,,,,,,,176,64,103,,,,,
,205,,,0,10.022796,,,,,,,176,64,102,,,,,
,206,,,0,10.033212,,,,,,,176,64,103,,,,,
,207,,,0,10.043628,,,,,,,176,64,102,,,,,
,208,,,0,10.051440,,,,,,,176,64,103,,,,,
,209,,,0,10.061856,,,,,,,176,64,102,,,,,
,210,,,0,10.072272,,,,,,,176,64,103,,,,,
0,211,1,-1,0,10.147788,0.0,0.0,0,A1,,,144,33,89,,,,,
0,212,1,-1,0,10.150392,0.0,0.0,0,F#2,,,144,42,91,,,,,
0,213,1,-1,0,10.152996,0.0,0.0,0,C#4,,,144,61,99,,,,,
,214,,,0,10.152996,,,,,,,176,64,102,,,,,
,215,,,0,10.163412,,,,,,,176,64,103,,,,,
,216,,,0,10.171224,,,,,,,176,64,101,,,,,
,217,,,0,10.173828,,,,,,,176,67,19,,,,,
,218,,,0,10.181640,,,,,,,176,67,20,,,,,
,219,,,0,10.192056,,,,,,,176,64,99,,,,,
,220,,,0,10.202472,,,,,,,176,64,89,,,,,
,221,,,0,10.212888,,,,,,,176,64,79,,,,,
,222,,,0,10.223304,,,,,,,176,64,66,,,,,
,223,,,0,10.233720,,,,,,,176,64,56,,,,,
,224,,,0,10.241532,,,,,,,128,28,0,,,,,
,225,,,0,10.241532,,,,,,,128,42,0,,,,,
,226,,,0,10.244136,,,,,,,176,64,45,,,,,
,227,,,0,10.246740,,,,,,,128,33,0,,,,,
,228,,,0,10.251948,,,,,,,176,64,36,,,,,
,229,,,0,10.262364,,,,,,,176,64,28,,,,,
,230,,,0,10.272780,,,,,,,176,64,21,,,,,
,231,,,0,10.283196,,,,,,,176,64,19,,,,,
,232,,,0,10.285800,,,,,,,128,61,0,,,,,
,233,,,0,10.293612,,,,,,,176,64,12,,,,,
,234,,,0,10.301424,,,,,,,176,64,11,,,,,
,235,,,0,10.309236,,,,,,,128,30,0,,,,,
,236,,,0,10.322256,,,,,,,176,64,8,,,,,
,237,,,0,10.332672,,,,,,,176,64,5,,,,,
,238,,,0,10.345692,,,,,,,176,64,4,,,,,
