meas:15 6/4 ticks:4608
  0  15  0.000 v1 s1 t=0    re15_1Rs        R   s    -- --- | section:7006
  1  15  0.000 v5 s2 t=0    n15_5Bb1t_0     Bb1 t    -- --o | d:ppp+
  2  15  0.075 v5 s2 t=77   n15_5A1t_0      A1  t    -- --o | d:ppp+
  3  15  0.150 v5 s2 t=154  n15_5Bb1t_1     Bb1 t    -- --o | d:ppp+
  4  15  0.167 v1 s1 t=171  n15_1G5s_0      G5  s    -- --o | d:ppp+
  5  15  0.226 v5 s2 t=231  n15_5A1s_0      A1  s    -- --o | d:ppp+
  6  15  0.334 v1 s1 t=342  n15_1Db5s_0     Db5 s    -- --o | d:pp-
  7  15  0.376 v5 s2 t=385  n15_5Bb1t_2     Bb1 t    -- --o | d:pp-
  8  15  0.451 v5 s2 t=462  n15_5A1t_1      A1  t    -- --o | d:pp-
  9  15  0.501 v1 s1 t=513  n15_1G5s_1      G5  s.   -- --o | d:pp-
 10  15  0.526 v5 s2 t=539  n15_5Bb1t_3     Bb1 t    -- --o | d:pp-
 11  15  0.602 v5 s2 t=616  n15_5A1s_1      A1  s    -- --o | d:pp-
 12  15  0.751 v1 s1 t=769  n15_1Db5s_1     Db5 s    -- --o | d:pp
 13  15  0.752 v5 s2 t=770  n15_5Bb1t_4     Bb1 t    -- --o | d:pp
 14  15  0.827 v5 s2 t=847  n15_5A1t_2      A1  t    -- --o | d:pp
 15  15  0.902 v5 s2 t=924  n15_5Bb1t_5     Bb1 t    -- --o | d:pp
 16  15  0.918 v1 s1 t=940  n15_1G5s_2      G5  s    -- --o | d:pp
 17  15  0.978 v5 s2 t=1001 n15_5A1s_2      A1  s    -- --o | d:pp
 18  15  1.085 v1 s1 t=1111 n15_1Db5s_2     Db5 s    -- --o | d:pp+
 19  15  1.128 v5 s2 t=1155 n15_5Bb1t_6     Bb1 t    -- --o | d:pp+
 20  15  1.203 v5 s2 t=1232 n15_5A1t_3      A1  t    -- --o | d:pp+
 21  15  1.252 v1 s1 t=1282 n15_1G5s_3      G5  s.   -- --o | d:pp+
 22  15  1.278 v5 s2 t=1309 n15_5Bb1t_7     Bb1 t    -- --o | d:pp+
 23  15  1.354 v5 s2 t=1386 n15_5A1s_3      A1  s    -- --o | d:pp+
 24  15  1.502 v1 s1 t=1538 n15_1Db5s_3     Db5 s    -- --o | 
 25  15  1.504 v5 s2 t=1540 n15_5Bb1t_8     Bb1 t    -- --o | 
 26  15  1.579 v5 s2 t=1617 n15_5A1t_4      A1  t    -- --o | 
 27  15  1.654 v5 s2 t=1694 n15_5Bb1t_9     Bb1 t    -- --o | 
 28  15  1.669 v1 s1 t=1709 n15_1G5s_4      G5  s    -- --o | 
 29  15  1.729 v5 s2 t=1771 n15_5A1s_4      A1  s    -- --o | 
 30  15  1.836 v1 s1 t=1880 n15_1Db5s_4     Db5 s    -- --o | 
 31  15  1.880 v5 s2 t=1925 n15_5Bb1t_10    Bb1 t    -- --o | 
 32  15  1.955 v5 s2 t=2002 n15_5A1t_5      A1  t    -- --o | 
 33  15  2.003 v1 s1 t=2051 n15_1G5s_5      G5  s.   -- --o | 
 34  15  2.030 v5 s2 t=2079 n15_5Bb1t_11    Bb1 t    -- --o | 
 35  15  2.105 v5 s2 t=2156 n15_5A1s_5      A1  s    -- --o | 
 36  15  2.253 v1 s1 t=2307 n15_1Db5s_5     Db5 s    -- --o | 
 37  15  2.256 v5 s2 t=2310 n15_5Bb1t_12    Bb1 t    -- --o | 
 38  15  2.331 v5 s2 t=2387 n15_5A1t_6      A1  t    -- --o | 
 39  15  2.406 v5 s2 t=2464 n15_5Bb1t_13    Bb1 t    -- --o | 
 40  15  2.420 v1 s1 t=2478 n15_1G5s_6      G5  s    -- --o | 
 41  15  2.481 v5 s2 t=2541 n15_5A1s_6      A1  s    -- --o | 
 42  15  2.587 v1 s1 t=2649 n15_1Db5s_6     Db5 s    -- --o | 
 43  15  2.632 v5 s2 t=2695 n15_5Bb1t_14    Bb1 t    -- --o | 
 44  15  2.707 v5 s2 t=2772 n15_5A1t_7      A1  t    -- --o | 
 45  15  2.754 v1 s1 t=2820 n15_1G5s_7      G5  s.   -- --o | 
 46  15  2.782 v5 s2 t=2849 n15_5Bb1t_15    Bb1 t    -- --o | 
 47  15  2.857 v5 s2 t=2926 n15_5A1s_7      A1  s    -- --o | 
 48  15  3.000 v1 s1 t=3072 re15_1Rh        R   h    -- --- | metro:q:108
 49  15  3.006 v5 s2 t=3080 re15_5Rh        R   h    -- --- | damp:up
meas:16 6/4 ticks:4608
  0  16  0.000 v1 s1 t=0    n16_1Eb5w       Eb5 w.   -- --o | d:mp damp:down section:7008
  1  16  0.000 v2 s1 t=0    n16_2D3q        D3  q.   -- c-o | 
  2  16  0.000 v2 s1 t=0    n16_2E4q_0      E4  q.   -- c-o | 
  3  16  0.000 v5 s2 t=0    n16_5Bb2w       Bb2 w.   -- --o | 
  4  16  0.000 v6 s2 t=0    n16_6C2w        C2  w.   -- --o | 
  5  16  0.667 v2 s1 t=922  n16_2E4q_1      E4  q    tb c-o | d:pp+
  6  16  0.667 v2 s1 t=922  n16_2F5q_0      F5  q    tb c-o | d:pp+
  7  16  1.111 v2 s1 t=1536 n16_2E4q_2      E4  q    te c-- | 
  8  16  1.111 v2 s1 t=1536 n16_2F5q_1      F5  q    te c-- | 
  9  16  1.667 v2 s1 t=2304 n16_2D3h        D3  h    tb c-o | d:p
 10  16  1.667 v2 s1 t=2304 n16_2E4h        E4  h    tb c-o | d:p
 11  16  2.778 v2 s1 t=3840 n16_2D3e_0      D3  e    te c-- | 
 12  16  2.778 v2 s1 t=3840 n16_2E4e_0      E4  e    te c-- | 
 13  16  3.000 v2 s1 t=4147 n16_2D3e_1      D3  e.   tb c-o | d:mp+
 14  16  3.000 v2 s1 t=4147 n16_2E4e_1      E4  e.   tb c-o | d:mp+
 15  16  3.000 v2 s1 t=4147 n16_2F5e        F5  e.   tb c-o | d:mp+
meas:17 7/4 ticks:5376
  0  17  0.000 v1 s1 t=0    re17_1Rq        R   q    -- --- | 
  1  17  0.000 v2 s1 t=0    n17_2D3q        D3  q    te c-- | 
  2  17  0.000 v2 s1 t=0    n17_2E4q        E4  q    te c-- | 
  3  17  0.000 v2 s1 t=0    n17_2F5q        F5  q    te c-- | 
  4  17  0.000 v5 s2 t=0    re17_5Rq        R   q    -- --- | 
  5  17  0.000 v6 s2 t=0    re17_6Rq        R   q    -- --- | 
  6  17  0.556 v1 s1 t=768  re17_1Rw        R   w.   -- --- | 
  7  17  0.556 v2 s1 t=768  n17_2D3h        D3  h    tb c-o | d:mf
  8  17  0.556 v2 s1 t=768  n17_2E4h        E4  h    tb c-o | d:mf
  9  17  0.556 v2 s1 t=768  n17_2Eb5h       Eb5 h    tb c-o | d:mf
 10  17  0.556 v2 s1 t=768  n17_2F5h        F5  h    tb c-o | d:mf
 11  17  0.556 v5 s2 t=768  n17_5Bb2w       Bb2 w.   -- --o | d:pp
 12  17  0.556 v6 s2 t=768  n17_6C2w        C2  w.   -- --o | d:pp
 13  17  1.667 v2 s1 t=2304 n17_2D3w        D3  w    te c-- | damp:up
 14  17  1.667 v2 s1 t=2304 n17_2E4w        E4  w    te c-- | 
 15  17  1.667 v2 s1 t=2304 n17_2Eb5w       Eb5 w    te c-- | 
 16  17  1.667 v2 s1 t=2304 n17_2F5w        F5  w    te c-- | 
meas:18 7/4 ticks:5376
  0  18  0.000 v1 s1 t=0    n18_1D3s        D3  s    -- c-o | d:mp
  1  18  0.000 v1 s1 t=0    n18_1E4s        E4  s    -- c-o | d:mp
  2  18  0.000 v1 s1 t=0    n18_1Eb5s       Eb5 s    -- c-o | d:mp
  3  18  0.000 v1 s1 t=0    n18_1F5s        F5  s    -- c-o | d:mp
  4  18  0.000 v5 s2 t=0    re18_5Rh        R   h    -- --- | 
  5  18  0.000 v6 s2 t=0    re18_6Rq_0      R   q    -- --- | 
  6  18  0.139 v1 s1 t=192  re18_1Re        R   e.   -- --- | 
  7  18  0.556 v1 s1 t=768  re18_1Rq        R   q    -- --- | 
  8  18  0.556 v6 s2 t=768  re18_6Rq_1      R   q    -- --- | 
  9  18  1.111 v1 s1 t=1536 n18_1D3h_0      D3  h.   -- c-o | section:7009
 10  18  1.111 v1 s1 t=1536 n18_1E4h_0      E4  h.   -- c-o | 
 11  18  1.111 v1 s1 t=1536 n18_1Eb5h_0     Eb5 h.   -- c-o | 
 12  18  1.111 v1 s1 t=1536 n18_1F5h_0      F5  h.   -- c-o | 
 13  18  1.111 v5 s2 t=1536 n18_5Bb2h_0     Bb2 h.   -- --o | 
 14  18  1.111 v6 s2 t=1536 n18_6C2h_0      C2  h.   -- --o | 
 15  18  2.778 v1 s1 t=3840 n18_1D3h_1      D3  h    -- c-o | 
 16  18  2.778 v1 s1 t=3840 n18_1E4h_1      E4  h    -- c-o | 
 17  18  2.778 v1 s1 t=3840 n18_1Eb5h_1     Eb5 h    -- c-o | 
 18  18  2.778 v1 s1 t=3840 n18_1F5h_1      F5  h    -- c-o | 
 19  18  2.778 v5 s2 t=3840 n18_5Bb2h_1     Bb2 h    -- --o | 
 20  18  2.778 v6 s2 t=3840 n18_6C2h_1      C2  h    -- --o | 
meas:19 5/16 ticks:960
  0  19  0.000 v1 s1 t=0    re19_1Re_0      R   e.   -- --- | 
  1  19  0.000 v5 s2 t=0    re19_5Re_0      R   e.   -- --- | 
  2  19  0.417 v1 s1 t=576  re19_1Re_1      R   e    -- --- | 
  3  19  0.417 v5 s2 t=576  re19_5Re_1      R   e    -- --- | 
meas:20 8/4 ticks:6144
  0  20  0.000 v1 s1 t=0    re20_1RM        R   M    -- --- | metro:q:63
  1  20  0.000 v5 s2 t=0    re20_5RM        R   M    -- --- | 
meas:21 9/4 ticks:6912
  0  21  0.000 v1 s1 t=0    re21_1Rh        R   h.   -- --- | metro:q:80
  1  21  0.000 v5 s2 t=0    re21_5Rh        R   h.   -- --- | 
  2  21  2.250 v1 s1 t=2304 re21_1Rw        R   w    -- --- | damp:down section:7011
  3  21  2.250 v5 s2 t=2304 n21_5Bb2t_0     Bb2 t    -- --o | 
  4  21  2.333 v5 s2 t=2389 n21_5E2t_0      E2  t    -- --o | 
  5  21  2.416 v5 s1 t=2474 n21_5Db7t_0     Db7 t    -- --o | 
  6  21  2.499 v5 s2 t=2559 n21_5Bb2t_1     Bb2 t    -- --o | 
  7  21  2.582 v5 s1 t=2644 n21_5Db7t_1     Db7 t    -- --o | 
  8  21  2.665 v5 s2 t=2729 n21_5E2t_1      E2  t    -- --o | 
  9  21  2.748 v5 s1 t=2814 n21_5C6t        C6  t    -- --o | 
 10  21  2.831 v5 s2 t=2899 n21_5Ab1s       Ab1 s    -- --o | 
 11  21  2.998 v5 s2 t=3070 n21_5Bb2t_2     Bb2 t    -- --o | 
 12  21  3.081 v5 s2 t=3155 n21_5E2t_2      E2  t    -- --o | 
 13  21  3.164 v5 s2 t=3240 n21_5Ab1t_0     Ab1 t    -- --o | 
 14  21  3.247 v5 s2 t=3325 n21_5Bb2t_3     Bb2 t    -- --o | 
 15  21  3.330 v5 s2 t=3410 n21_5E2s_0      E2  s    -- --o | 
 16  21  3.497 v5 s2 t=3581 n21_5Ab1t_1     Ab1 t    -- --o | 
 17  21  3.580 v5 s2 t=3666 n21_5Bb2t_4     Bb2 t    -- --o | 
 18  21  3.663 v5 s2 t=3751 n21_5E2t_3      E2  t    -- --o | 
 19  21  3.746 v5 s2 t=3836 n21_5Bb2t_5     Bb2 t    -- --o | 
 20  21  3.829 v5 s2 t=3921 n21_5E2t_4      E2  t    -- --o | 
 21  21  3.912 v5 s2 t=4006 n21_5Ab1t_2     Ab1 t    -- --o | 
 22  21  3.995 v5 s2 t=4091 n21_5Bb2t_6     Bb2 t    -- --o | 
 23  21  4.078 v5 s2 t=4176 n21_5E2s_1      E2  s    -- --o | 
 24  21  4.245 v5 s2 t=4347 n21_5Ab1t_3     Ab1 t    -- --o | 
 25  21  4.328 v5 s2 t=4432 n21_5Bb2t_7     Bb2 t    -- --o | 
 26  21  4.411 v5 s2 t=4517 n21_5E2t_5      E2  t    -- --o | 
 27  21  4.494 v5 s2 t=4602 n21_5Bb2t_8     Bb2 t    -- --o | 
 28  21  4.577 v5 s2 t=4687 n21_5E2t_6      E2  t    -- --o | 
 29  21  4.660 v5 s2 t=4772 n21_5Ab1t_4     Ab1 t    -- --o | 
 30  21  4.743 v5 s2 t=4857 n21_5Bb2t_9     Bb2 t    -- --o | 
 31  21  4.826 v5 s2 t=4942 n21_5E2s_2      E2  s    -- --o | 
 32  21  4.993 v5 s2 t=5113 n21_5Ab1t_5     Ab1 t    -- --o | 
 33  21  5.076 v5 s2 t=5198 n21_5Bb2t_10    Bb2 t    -- --o | 
 34  21  5.159 v5 s2 t=5283 n21_5E2t_7      E2  t    -- --o | 
 35  21  5.242 v5 s2 t=5368 n21_5Bb2t_11    Bb2 t    -- --o | d:ppp
 36  21  5.250 v1 s1 t=5376 re21_1Rs_0      R   s    -- --- | 
 37  21  5.325 v5 s2 t=5453 n21_5E2t_8      E2  t    -- --o | d:ppp
 38  21  5.400 v1 s1 t=5530 n21_1Db7s_0     Db7 s    -- --o | d:ppp
 39  21  5.408 v5 s2 t=5538 n21_5Ab1t_6     Ab1 t    -- --o | 
 40  21  5.491 v5 s2 t=5623 n21_5Bb2t_12    Bb2 t    -- --o | d:ppp
 41  21  5.551 v1 s1 t=5684 n21_1C6s_0      C6  s    -- --o | 
 42  21  5.574 v5 s2 t=5708 n21_5E2s_3      E2  s    -- --o | 
 43  21  5.701 v1 s1 t=5838 n21_1Db7s_1     Db7 s    -- --o | d:ppp
 44  21  5.741 v5 s2 t=5879 n21_5Ab1t_7     Ab1 t    -- --o | 
 45  21  5.824 v5 s2 t=5964 n21_5Bb2t_13    Bb2 t    -- --o | 
 46  21  5.852 v1 s1 t=5992 n21_1C6s_1      C6  s    -- --o | d:ppp
 47  21  5.907 v5 s2 t=6049 n21_5E2t_9      E2  t    -- --o | 
 48  21  5.990 v5 s2 t=6134 n21_5Bb2t_14    Bb2 t    -- --o | d:ppp
 49  21  6.002 v1 s1 t=6146 re21_1Rs_1      R   s    -- --- | 
 50  21  6.073 v5 s2 t=6219 n21_5E2t_10     E2  t    -- --o | d:ppp
 51  21  6.152 v1 s1 t=6300 n21_1Db7s_2     Db7 s    -- --o | 
